ID,Kata,SukuKata,Sampa,SukuSampa
1,aku,a-ku,VkU,V-k.U
2,yang,yang,jVN,j.V.N
3,tidak,ti-dak,tIdVk,t.I-d.V.k
4,kau,kau,kaU,k.aU
5,dan,dan,dVn,d.V.n
6,di,di,dI,d.I
7,ini,i-ni,InI,I-n.I
8,itu,i-tu,ItU,I-t.U
9,akan,a-kan,VkVn,V-k.V.n
10,dia,dia,dIV,d.I-V
11,apa,a-pa,VpV,V-p.V
12,anda,an-da,VndV,V.n-d.V
13,untuk,un-tuk,UntUk,U.n-t.U.k
14,kita,ki-ta,kItV,k.I-t.V
15,saya,sa-ya,sVjV,s.V-j.V
16,dengan,de-ngan,deNVn,d.e-N.V.n
17,mereka,me-re-ka,m@rekV,m.@-r.e-k.V
18,dari,da-ri,dVrI,d.V-r.I
19,ada,a-da,VdV,V-d.V
20,bisa,bi-sa,bIsV,b.I-s.V
21,tahu,ta-hu,tVhU,t.V-h.U
22,tak,tak,tVk,t.V.k
23,kamu,ka-mu,kVmU,k.V-m.U
24,ke,ke,k@,k.@
25,kami,ka-mi,kVmI,k.V-m.I
26,dalam,da-lam,dVlVm,d.V-l.V.m
27,adalah,a-da-lah,VdVlVh,V-d.V-l.V.h
28,orang,o-rang,QrVN,Q-r.V.N
29,harus,ha-rus,hVrUs,h.V-r.U.s
30,ya,ya,jV,j.V
31,tapi,ta-pi,tVpI,t.V-p.I
32,sudah,su-dah,sUdVh,s.U-d.V.h
33,pada,pa-da,pVdV,p.V-d.V
34,baik,ba-ik,baIk,b.aI.k
35,seperti,se-per-ti,s@pertI,s.@-p.e.r-t.I
36,pergi,per-gi,pergI,p.e.r-g.I
37,hanya,ha-nya,hVnYV,h.V-n.Y.V
38,saja,sa-ja,sVdZV,s.V-dZ.V
39,sini,si-ni,sInI,s.I-n.I
40,ingin,i-ngin,INIn,I-N.I.n
41,semua,se-mua,s@mUV,s.@-m.U-V
42,sekarang,se-ka-rang,s@kVrVN,s.@-k.V-r.V.N
43,jika,ji-ka,dZIkV,dZ.I-k.V
44,lebih,le-bih,lebIh,l.e-b.I.h
45,satu,sa-tu,sVtU,s.V-t.U
46,oh,oh,Qh,Q.h
47,jadi,ja-di,dZVdI,dZ.V-d.I
48,apakah,a-pa-kah,VpVkVh,V-p.V-k.V.h
49,bukan,bu-kan,bUkVn,b.U-k.V.n
50,telah,te-lah,t@lVh,t.@-l.V.h
51,punya,pu-nya,pUnYV,p.U-nY.V
52,karena,ka-re-na,kVrenV,k.V-r.e-n.V
53,jangan,ja-ngan,dZVNVn,dZ.V-N.V.n
54,lagi,la-gi,lVgI,l.V-g.I
55,juga,ju-ga,dZUgV,dZ.U-g.V
56,benar,be-nar,b@nVr,b.@-n.V.r
57,hal,hal,hVl,h.V.l
58,mungkin,mung-kin,mUNkIn,m.U.N-k.I.n
59,sangat,sa-ngat,sVNVt,s.V-N.V.t
60,atau,a-tau,VtaU,V-t.a.U
61,bahwa,bah-wa,bVhwV,b.V.h-w.V
62,menjadi,men-ja-di,m@ndZVdI,m.@.n-dZ.V-d.I
63,hari,ha-ri,hVrI,h.V-r.I
64,pernah,per-nah,pernVh,p.e.r-n.V.h
65,kembali,kem-ba-li,k@mbVlI,k.@.m-b.V-l.I
66,dapat,da-pat,dVpVt,d.V-p.V.t
67,ayo,a-yo,VjQ,V-j.Q
68,banyak,ba-nyak,bVnYVk,b.V-nY.V.k
69,saat,sa-at,sV_Vt,s.V-_.V.t
70,melihat,me-li-hat,m@lIhVt,m.@-l.I-h.V.t
71,datang,da-tang,dVtVN,d.V-t.V.N
72,tahun,ta-hun,tVhUn,t.V-h.U.n
73,lihat,li-hat,lIhVt,l.I-h.V.t
74,mau,mau,maU,m.a.U
75,anak,a-nak,VnVk,V-n.V.k
76,siapa,si-a-pa,sIVpV,s.I-V-p.V
77,kalian,ka-li-an,kVlIVn,k.V-l.I-V.n
78,terjadi,ter-ja-di,t@rdZVdI,t.@.r-dZ.V-d.I
79,tentang,ten-tang,tentVN,t.e.n-t.V.N
80,ia,ia,IV,I-V
81,seorang,se-o-rang,s@QrVN,s.@-Q-r.V.N
82,masih,ma-sih,mVsIh,m.V-s.I.h
83,lain,la-in,laIn,l.a-I.n
84,kasih,ka-sih,kVsIh,k.V-s.I.h
85,begitu,be-gi-tu,b@gItU,b.@-g.I-t.U
86,keluar,ke-lu-ar,k@lUVr,k.@-l.U-V.r
87,waktu,wak-tu,wVktU,w.V.k-t.U
88,terima,te-ri-ma,t@rImV,t.@-r.I-m.V
89,bagus,ba-gus,bVgUs,b.V-g.U.s
90,baru,ba-ru,bVrU,b.V-r.U
91,mana,ma-na,mVnV,m.V-n.V
92,sana,sa-na,sVnV,s.V-n.V
93,membuat,mem-bu-at,m@mbUVt,m.@.m-b.U-V.t
94,sebuah,se-bu-ah,s@bUVh,s.@-b.U-V.h
95,besar,be-sar,besVr,b.e-s.V.r
96,tempat,tem-pat,tempVt,t.e.m-p.V.t
97,malam,ma-lam,mVlVm,m.V-l.V.m
98,lalu,la-lu,lVlU,l.V-l.U
99,oke,o-ke,Qk@,Q-k.@
100,dua,du-a,dUV,d.U-V
101,oleh,o-leh,Ql@h,Q-l.@.h
102,sampai,sam-pai,sVmpaI,s.V.m-p.a.I
103,sebagai,se-ba-gai,s@bVgaI,s.@-b.V-g.a.I
104,sendiri,sen-di-ri,s@ndIrI,s.@.n-d.I-r.I
105,sama,sa-ma,sVmV,s.V-m.V
106,kalau,ka-lau,kVlaU,k.V-l.a.U
107,mati,ma-ti,mVtI,m.V-t.I
108,ketika,ke-ti-ka,k@tIkV,k.@-t.I-k.V
109,mengapa,me-nga-pa,m@NVpV,m.@-N.V-p.V
110,sedang,se-dang,sedVN,s.e-d.V.N
111,bilang,bi-lang,bIlVN,b.I-l.V.N
112,salah,sa-lah,sVlVh,s.V-l.V.h
113,rumah,ru-mah,rUmVh,r.U-m.V.h
114,maaf,ma-af,mV_Vf,m.V-_.V.f
115,tersebut,ter-se-but,t@rsebUt,t.@.r-s.e-b.U.t
116,kenapa,ke-na-pa,k@nVpV,k.@-n.V-p.V
117,hidup,hi-dup,hIdUp,h.I-d.U.p
118,jalan,ja-lan,dZVlVn,dZ.V-l.V.n
119,pikir,pi-kir,pIkIr,p.I-k.I.r
120,masuk,ma-suk,mVsUk,m.V-s.U.k
121,belum,be-lum,belUm,b.e-l.U.m
122,tuhan,tu-han,tUhVn,t.U-h.V.n
123,sekali,se-ka-li,s@kVlI,s.@-k.V-l.I
124,tunggu,tung-gu,tUNgU,t.U.N-g.U
125,perlu,per-lu,perlU,p.e.r-l.U
126,kepada,ke-pa-da,k@pVdV,k.@-p.V-d.V
127,atas,a-tas,VtVs,V-t.V.s
128,cepat,ce-pat,tSepVt,tS.e-p.V.t
129,setelah,se-te-lah,s@telVh,s.@-t.e-l.V.h
130,kata,ka-ta,kVtV,k.V-t.V
131,masalah,ma-sa-lah,mVsVlVh,m.V-s.V-l.V.h
132,cukup,cu-kup,tSUkUp,tS.U-k.U.p
133,para,pa-ra,pVrV,p.V-r.V
134,selamat,se-la-mat,s@lVmVt,s.@-l.V-m.V.t
135,berada,be-ra-da,b@rVdV,b.@-r.V-d.V
136,dengar,de-ngar,deNVr,d.e-N.V.r
137,setiap,se-ti-ap,s@tIVp,s.@-t.I-V.p
138,dunia,du-nia,dUnIV,d.U-n.I.V
139,tetap,te-tap,tetVp,t.e-t.V.p
140,selalu,se-la-lu,s@lVlU,s.@-l.V-l.U
141,bahkan,bah-kan,bVhkVn,b.V.h-k.V.n
142,tentu,ten-tu,tentU,t.e.n-t.U
143,ayah,a-yah,VjVh,V-j.V.h
144,sedikit,se-di-kit,s@dIkIt,s.@-d.I-k.I.t
145,padaku,pa-da-ku,pVdVkU,p.V-d.V-k.U
146,selama,se-la-ma,s@lVmV,s.@-l.V-m.V
147,mari,ma-ri,mVrI,m.V-r.I
148,pertama,per-ta-ma,p@rtVmV,p.@.r-t.V-m.V
149,disini,di-si-ni,dIsInI,d.I-s.I-n.I
150,kali,ka-li,kVlI,k.V-l.I
151,kecil,ke-cil,ketSIl,k.e-tS.I.l
152,suka,su-ka,sUkV,s.U-k.V
153,kan,kan,kVn,k.V.n
154,mulai,mu-lai,mUlaI,m.U-l.a.I
155,tinggal,ting-gal,tINgVl,t.I.N-g.V.l
156,bicara,bi-ca-ra,bItSVrV,b.I-tS.V-r.V
157,dimana,di-ma-na,dImVnV,d.I-m.V-n.V
158,luar,lu-ar,lUVr,l.U-V.r
159,lama,la-ma,lVmV,l.V-m.V
160,diri,di-ri,dIrI,d.I-r.I
161,teman,te-man,temVn,t.e.m-V.n
162,pak,pak,pVk,p.V.k
163,mengerti,me-nger-ti,m@NertI,m.@-N.e.r-t.I
164,kota,ko-ta,kQtV,k.Q-t.V
165,bagi,ba-gi,bVgI,b.V-g.I
166,terlalu,ter-la-lu,t@rlVlU,t.@.r-l.V-l.U
167,bekerja,be-ker-ja,b@kerdZV,b.@-k.e.r-dZ.V
168,sayang,sa-yang,sVjVN,s.V-j.V.N
169,berpikir,ber-pi-kir,b@rpIkIr,b.@.r-p.I-k.I.r
170,pasti,pas-ti,pVstI,p.V.s-t.I
171,pun,pun,pUn,p.U.n
172,bersama,ber-sa-ma,b@rsVmV,b.@.r-s.V-m.V
173,mengambil,meng-am-bil,m@NVmbIl,m.@.N-V.m-b.I.l
174,percaya,per-ca-ya,p@rtSVjV,p.@.r-tS.V-j.V
175,makan,ma-kan,mVkVn,m.V-k.V.n
176,cara,ca-ra,tSVrV,tS.V-r.V
177,uang,u-ang,UVN,U-V.N
178,tiga,ti-ga,tIgV,t.I-g.V
179,wanita,wa-ni-ta,wVnItV,w.V-n.I-t.V
180,sebelum,se-be-lum,s@belUm,s.@-b.e-l.U.m
181,tetapi,te-ta-pi,t@tVpI,t.@-t.V-p.I
182,ibu,i-bu,IbU,I-b.U
183,berhenti,ber-hen-ti,b@rhentI,b.@.r-h.e.n-t.I
184,tolong,to-long,tQlQN,t.Q-l.Q.N
185,terus,te-rus,terUs,t.e-r.U.s
186,siap,si-ap,sIVp,s.I-V.p
187,secara,se-ca-ra,s@tSVrV,s.@-tS.V-r.V
188,jam,jam,dZVm,dZ.V.m
189,pria,pria,prIV,p.r.I.V
190,yakin,ya-kin,jVkIn,j.V-k.I.n
191,mobil,mo-bil,mQbIl,m.Q-b.I.l
192,senang,se-nang,senVN,s.e-n.V.N
193,merasa,me-ra-sa,m@rVsV,m.@-r.V-s.V
194,bertemu,ber-te-mu,b@rtemU,b.@.r-t.e-m.U
195,depan,de-pan,depVn,d.e-p.V.n
196,negara,ne-ga-ra,n@gVrV,n.@-g.V-r.V
197,tanpa,tan-pa,tVnpV,t.V.n-p.V
198,membawa,mem-ba-wa,m@mbVwV,m.@.m-b.V-w.V
199,polisi,po-li-si,pQlIsI,p.Q-l.I-s.I
200,namun,na-mun,nVmUn,n.V-m.U.n
201,tuan,tu-an,tUVn,t.U-V.n
202,air,a-ir,aIr,a-I.r
203,gadis,ga-dis,gVdIs,g.V-d.I.s
204,sekitar,se-ki-tar,s@kItVr,s.@-k.I-t.V.r
205,padamu,pa-da-mu,pVdVmU,p.V-d.V-m.U
206,nama,na-ma,nVmV,n.V-m.V
207,mencoba,men-co-ba,m@ntSQbV,m.@.n-tS.Q-b.V
208,membunuh,mem-bu-nuh,m@mbUnUh,m.@.m-b.U-n.U.h
209,buruk,bu-ruk,bUrUk,b.U-r.U.k
210,mencari,men-ca-ri,m@ntSVrI,m.@.n-tS.V-r.I
211,sial,si-al,sIVl,s.I-V.l
212,memang,me-mang,memVN,m.e-m.V.N
213,bawah,ba-wah,bVwVh,b.V-w.V.h
214,bagian,ba-gi-an,bVgIVn,b.V-g.I-V.n
215,segera,se-ge-ra,s@gerV,s.@-g.e-r.V
216,boleh,bo-leh,bQl@h,b.Q-l.@.h
217,terakhir,ter-a-khir,t@rVhIr,t.@.r-V-h.I.r
218,kepala,ke-pa-la,k@pVlV,k.@-p.V-l.V
219,ingat,i-ngat,INVt,I-N.V.t
220,sakit,sa-kit,sVkIt,s.V-k.I.t
221,bulan,bu-lan,bUlVn,b.U-l.V.n
222,tidur,ti-dur,tIdUr,t.I-d.U.r
223,berapa,be-ra-pa,b@rVpV,b.@-r.V-p.V
224,antara,an-ta-ra,VntVrV,V.n-t.V-r.V
225,hati,ha-ti,hVtI,h.V-t.I
226,sialan,si-al-an,sIVlVn,s.I-V-l.V.n
227,suatu,su-a-tu,sUVtU,s.U-V-t.U
228,membantu,mem-ban-tu,m@mbVntU,m.@.m-b.V.n-t.U
229,paling,pa-ling,pVlIN,p.V-l.I.N
230,menit,me-nit,menIt,m.e-n.I.t
231,tim,tim,tIm,t.I.m
232,jauh,ja-uh,dZaUh,dZ.a-U.h
233,seluruh,se-lu-ruh,s@lUrUh,s.@-l.U-r.U.h
234,butuh,bu-tuh,bUtUh,b.U-t.U.h
235,berhasil,ber-ha-sil,b@rhVsIl,b.@.r-h.V-s.I.l
236,rasa,ra-sa,rVsV,r.V-s.V
237,ku,ku,kU,k.U
238,halo,ha-lo,hVlQ,h.V-l.Q
239,takut,ta-kut,tVkUt,t.V-k.U.t
240,mendengar,men-de-ngar,m@ndeNVr,m.@.n-d.e-N.V.r
241,tangan,ta-ngan,tVNVn,t.V-N.V.n
242,biasa,bi-a-sa,bIVsV,b.I-V-s.V
243,gila,gi-la,gIlV,g.I-l.V
244,dulu,du-lu,dUlU,d.U-l.U
245,kedua,ke-du-a,k@dUV,k.@-d.U-V
246,ambil,am-bil,VmbIl,V.m-b.I.l
247,menunggu,me-nung-gu,m@nUNgU,m.@-n.U.N-g.U
248,bergerak,ber-ge-rak,b@rgerVk,b.@.r-g.e-r.V.k
249,pagi,pa-gi,pVgI,p.V-g.I
250,tepat,te-pat,tepVt,t.e-p.V.t
251,agar,a-gar,VgVr,V-g.V.r
252,menurut,me-nu-rut,m@nUrUt,m.@-n.U-r.U.t
253,sejak,se-jak,sedZVk,s.e-dZ.V.k
254,cinta,cin-ta,tSIntV,tS.I.n-t.V
255,masa,ma-sa,mVsV,m.V-s.V
256,tua,tua,tUV,t.U.V
257,itulah,i-tu-lah,ItUlVh,I-t.U-l.V.h
258,maka,ma-ka,mVkV,m.V-k.V
259,hebat,he-bat,hebVt,h.e-b.V.t
260,sekolah,se-ko-lah,s@kQlVh,s.@-k.Q-l.V.h
261,hingga,hing-ga,hINgV,h.I.N-g.V
262,sehingga,se-hing-ga,s@hINgV,s.@-h.I.N-g.V
263,minta,min-ta,mIntV,m.I.n-t.V
264,bawa,ba-wa,bVwV,b.V-w.V
265,terhadap,ter-ha-dap,t@rhVdVp,t.@.r-h.V-d.V.p
266,terlihat,ter-li-hat,t@rlIhVt,t.@.r-l.I-h.V.t
267,berjalan,ber-ja-lan,b@rdZVlVn,b.@.r-dZ.V-l.V.n
268,nanti,nan-ti,nVntI,n.V.n-t.I
269,sungguh,sung-guh,sUNgUh,s.U.N-g.U.h
270,penting,pen-ting,pentIN,p.e.n-t.I.N
271,bodoh,bo-doh,bQdQh,b.Q-d.Q.h
272,daerah,da-e-rah,dVerVh,d.V-e-r.V.h
273,duduk,du-duk,dUdUk,d.U-d.U.k
274,ikut,i-kut,IkUt,I-k.U.t
275,tinggi,ting-gi,tINgI,t.I.N-g.I
276,suara,su-a-ra,sUVrV,s.U-V-r.V
277,sebentar,se-ben-tar,s@b@ntVr,s.@-b.@.n-t.V.r
278,terbaik,ter-ba-ik,terbaIk,t.e.r-b.a-I.k
279,pintu,pin-tu,pIntU,p.I.n-t.U
280,tenang,te-nang,tenVN,t.e-n.V.N
281,bermain,ber-ma-in,bermaIn,b.e.r-m.a-I.n
282,dapat,da-pat,dVpVt,d.V-p.V.t
283,kan,kan,kVn,k.V.n
284,mata,ma-ta,mVtV,m.V-t.V
285,no,no,nQ,n.Q
286,selesai,se-le-sai,s@lesaI,s.@-l.e-s.a.I
287,minggu,ming-gu,mINgU,m.I.N-g.U
288,dekat,de-kat,dekVt,d.e-k.V.t
289,coba,co-ba,tSQbV,tS.Q-b.V
290,jelas,je-las,dZelVs,dZ.e-l.V.s
291,cuma,cu-ma,tSUmV,tS.U-m.V
292,hampir,ham-pir,hVmpIr,h.V.m-p.I.r
293,senjata,sen-ja-ta,s@ndZVtV,s.@.n-dZ.V-t.V
294,turun,tu-run,tUrUn,t.U-r.U.n
295,kerja,ker-ja,kerdZV,k.e.r-dZ.V
296,laki,la-ki,lVkI,l.V-k.I
297,lima,li-ma,lImV,l.I-m.V
298,mendapat,men-da-pat,m@ndVpVt,m.@.n-d.V-p.V.t
299,langsung,lang-sung,lVNsUN,l.V.N-s.U.N
300,hai,hai,haI,h.a.I
301,kasus,ka-sus,kVsUs,k.V-s.U.s
302,memberi,mem-be-ri,m@mberI,m.@.m-b.e-r.I
303,akhirnya,a-khir-nya,VhIrnYV,V-h.I.r-nY.V
304,berarti,ber-ar-ti,b@rVrtI,b.@.r-V.r-t.I
305,aneh,a-neh,Vn@h,V-n.@.h
306,berkata,ber-ka-ta,b@rkVtV,b.@.r-k.V-t.V
307,jatuh,ja-tuh,dZVtUh,dZ.V-t.U.h
308,presiden,pre-si-den,pr@sId@n,p.r.@-s.I-d.@.n
309,naik,na-ik,naIk,n.a-I.k
310,buku,bu-ku,bUkU,b.U-k.U
311,akhir,a-khir,VhIr,V-h.I.r
312,diam,di-am,dIVm,d.I-V.m
313,mudah,mu-dah,mUdVh,m.U-d.V.h
314,besok,be-sok,besQk,b.e-s.Q.k
315,kapal,ka-pal,kVpVl,k.V-p.V.l
316,juta,ju-ta,dZUtV,dZ.U-t.V
317,selain,se-la-in,selaIn,s.e-l.a-I.n
318,buat,bu-at,bUVt,b.U-V.t
319,tadi,ta-di,tVdI,t.V-d.I
320,sir,sir,sIr,s.I.r
321,meminta,me-min-ta,m@mIntV,m.@-m.I.n-t.V
322,menarik,me-na-rik,m@nVrIk,m.@-n.V-r.I.k
323,tanah,ta-nah,tVnVh,t.V-n.V.h
324,berharap,ber-ha-rap,b@rhVrVp,b.@.r-h.V-r.V.p
325,warga,war-ga,wVrgV,w.V.r-g.V
326,aman,a-man,VmVn,V-m.V.n
327,maafkan,ma-af-kan,mV_VfkVn,m.V-_.V.f-k.V.n
328,peduli,pe-du-li,p@dUlI,p.@-d.U-l.I
329,satunya,sa-tu-nya,sVtUnYV,s.V-t.U-n.Y.V
330,tiba,ti-ba,tIbV,t.I-b.V
331,empat,em-pat,@mpVt,@.m-p.V.t
332,nak,nak,nVk,n.V.k
333,sulit,su-lit,sUlIt,s.U-l.I.t
334,keras,ke-ras,kerVs,k.e-r.V.s
335,hukum,hu-kum,hUkUm,h.U-k.U.m
336,bisakah,bi-sa-kah,bIsVkVh,b.I-s.V-k.V.h
337,minum,mi-num,mInUm,m.I-n.U.m
338,perang,pe-rang,p@rVN,p.@-r.V.N
339,kaki,ka-ki,kVkI,k.V-k.I
340,si,si,sI,s.I
341,belakang,be-la-kang,b@lVkVN,b.@-l.V-k.V.N
342,bantuan,ban-tu-an,bVntUVn,b.V.n-t.U-V.n
343,tengah,te-ngah,teNVh,t.e-N.V.h
344,khawatir,kha-wa-tir,hVwVtIr,h.V-w.V-.tI.r
345,ruang,ru-ang,rUVN,r.U-V.N
346,film,film,fIlm,f.I.l.m
347,pesawat,pe-sa-wat,p@sVwVt,p.@-s.V-w.V.t
348,indah,in-dah,IndVh,I.n-d.V.h
349,berdua,ber-du-a,b@rdUV,b.@.r-d.U-V
350,nah,nah,nVh,n.V.h
351,ah,ah,Vh,V.h
352,muda,mu-da,mUdV,m.U-d.V
353,dokter,dok-ter,dQkt@r,d.Q.k-t.@.r
354,kuat,ku-at,kUVt,k.U-V.t
355,berbeda,ber-be-da,b@rbedV,b.@.r-b.e-d.V
356,nomor,no-mor,nQmQr,n.Q-m.Q.r
357,makanan,ma-kan-an,mVkVnVn,m.V-k.V-n.V.n
358,kapten,kap-ten,kVpt@n,k.V.p-t.@.n
359,anjing,an-jing,VndZIN,V.n-dZ.I.N
360,kapan,ka-pan,kVpVn,k.V-p.V.n
361,api,a-pi,VpI,V-p.I
362,cantik,can-tik,tSVntIk,tS.V.n-t.I.k
363,pihak,pi-hak,pIhVk,p.I-h.V.k
364,bumi,bu-mi,bUmI,b.U-m.I
365,anggota,ang-go-ta,VNgQtV,V.N-g.Q-t.V
366,menuju,me-nu-ju,m@nUdZU,m.@-n.U-dZ.U
367,cari,ca-ri,tSVrI,tS.V-r.I
368,barang,ba-rang,bVrVN,b.V-r.V.N
369,berakhir,ber-a-khir,b@rVhIr,b.@.r-V-h.I.r
370,mencapai,men-ca-pai,m@ntSVpaI,m.@.n-tS.V-p.a.I
371,alasan,a-la-san,VlVsVn,V-l.V-s.V.n
372,penuh,pe-nuh,penUh,p.e-n.U.h
373,semakin,se-ma-kin,s@mVkIn,s.@-m.V-k.I.n
374,kawan,ka-wan,kVwVn,k.V-w.V.n
375,bila,bi-la,bIlV,b.I-l.V
376,rencana,ren-ca-na,r@ntSVnV,r.@.n-tS.V-n.V
377,harga,har-ga,hVrgV,h.V.r-g.V
378,raja,ra-ja,rVdZV,r.V-dZ.V
379,laut,la-ut,laUt,l.a-U.t
380,dari,da-ri,dVrI,d.V-r.I
381,pada,pa-da,pVdV,p.V-d.V
382,bangun,ba-ngin,bVNUn,b.V-N.U.n
383,persen,per-sen,pers@n,p.e.r-s.@.n
384,silakan,si-la-kan,sIlVkVn,s.I-l.V-k.V.n
385,lari,la-ri,lVrI,l.V-r.I
386,mu,mu,mU,m.U
387,belajar,bel-a-jar,b@lVdZVr,b.@.l-V-dZ.V.r
388,bunuh,bu-nuh,bUnUh,b.U-n.U.h
389,kosong,ko-song,kQsQN,k.Q-s.Q.N
390,bank,bank,bVnk,b.V.n.k
391,kamar,ka-mar,kVmVr,k.V.m.V.r
